OrderID,OrderDate,CustomerID,CustomerName,City,State,ProductID,ProductName,Category,Quantity,UnitPrice,Discount,Sales,Cost,Profit,PaymentMethod,Month,Month Number,Year,Profit Margin,,,,
10020,11/8/2025,1304.00,Customer 195,Chennai,Tamil Nadu,250.00,Paper,Office,1.00,"$32,094.00 ",1000.00%,"$28,884.60","$20,488.91","$8,395.69",UPI,November,11,2025,70.93%,,,,
10021,3/24/2026,1312.00,Customer 353,Pune,Maharashtra,252.00,Desk,Furniture,4.00,"$47,623.00 ",2000.00%,"$152,393.60","$100,441.28","$51,952.32",Cash,March,3,2026,65.91%,,,,
10022,7/16/2026,1196.00,Customer 315,Hyderabad,Telangana,296.00,Paper,Office,6.00,"$30,346.00 ",1000.00%,"$163,868.40","$137,670.24","$26,198.16",Cash,July,7,2026,84.01%,,,,
10023,6/6/2026,1097.00,Customer 482,Bengaluru,Karnataka,293.00,Paper,Office,5.00,"$18,722.00 ",1000.00%,"$84,249.00","$64,494.50","$19,754.50",UPI,June,6,2026,76.55%,,,,
10024,1/19/2026,1466.00,Customer 3,Bengaluru,Karnataka,270.00,Paper,Office,7.00,"$11,326.00 ",1000.00%,"$71,353.80","$58,096.18","$13,257.62",Cash,January,1,2026,81.42%,,,,
10025,4/28/2026,1480.00,Customer 378,Pune,Maharashtra,252.00,Monitor,Electronics,4.00,"$23,975.00 ",0.00%,"$95,900.00","$59,960.52","$35,939.48",Credit Card,April,4,2026,62.52%,,,,
10026,9/4/2026,1378.00,Customer 72,Delhi,Delhi,229.00,Desk,Furniture,4.00,"$26,865.00 ",1000.00%,"$96,714.00","$58,851.31","$37,862.69",Credit Card,September,9,2026,60.85%,,,,
10027,12/17/2025,1187.00,Customer 378,Chennai,Tamil Nadu,262.00,Table,Furniture,3.00,"$26,475.00 ",1500.00%,"$67,511.25","$47,332.47","$20,178.78",Credit Card,December,12,2025,70.11%,,,,
10028,12/18/2026,1456.00,Customer 333,Delhi,Delhi,221.00,Chair,Furniture,2.00,"$4,109.00 ",2000.00%,"$6,574.40","$5,873.41",$700.99,UPI,December,12,2026,89.34%,,,,
10029,11/27/2025,1054.00,Customer 155,Mumbai,Maharashtra,222.00,Chair,Furniture,3.00,"$10,459.00 ",500.00%,"$29,808.15","$22,154.40","$7,653.75",Credit Card,November,11,2025,74.32%,,,,
10030,3/13/2025,1097.00,Customer 297,Mumbai,Maharashtra,277.00,Table,Furniture,6.00,"$15,390.00 ",2000.00%,"$73,872.00","$62,774.77","$11,097.23",Credit Card,March,3,2025,84.98%,,,,
10031,1/23/2025,1313.00,Customer 54,Mumbai,Maharashtra,265.00,Paper,Office,6.00,"$28,420.00 ",2000.00%,"$136,416.00","$93,666.02","$42,749.98",Debit Card,January,1,2025,68.66%,,,,
10032,12/8/2025,1245.00,Customer 254,Mumbai,Maharashtra,248.00,Pen,Office,6.00,"$8,289.00 ",1000.00%,"$44,760.60","$30,769.07","$13,991.53",Credit Card,December,12,2025,68.74%,,,,
10033,5/28/2026,1133.00,Customer 439,Chennai,Tamil Nadu,288.00,Pen,Office,7.00,"$41,767.00 ",1500.00%,"$248,513.65","$186,068.62","$62,445.03",Debit Card,May,5,2026,74.87%,,,,
10034,12/9/2026,1302.00,Customer 316,Bengaluru,Karnataka,237.00,Chair,Furniture,6.00,"$39,948.00 ",500.00%,"$227,703.60","$182,720.93","$44,982.67",UPI,December,12,2026,80.25%,,,,
10035,9/23/2025,1159.00,Customer 425,Pune,Maharashtra,211.00,Notebook,Office,4.00,"$5,277.00 ",0.00%,"$21,108.00","$15,551.63","$5,556.37",Credit Card,September,9,2025,73.68%,,,,
10036,3/30/2026,1016.00,Customer 488,Bengaluru,Karnataka,237.00,Desk,Furniture,5.00,"$44,470.00 ",1000.00%,"$200,115.00","$127,720.33","$72,394.67",Credit Card,March,3,2026,63.82%,,,,
10037,2/22/2026,1439.00,Customer 494,Bengaluru,Karnataka,260.00,Mouse,Electronics,1.00,"$40,431.00 ",500.00%,"$38,409.45","$33,955.05","$4,454.40",UPI,February,2,2026,88.40%,,,,
10038,11/18/2025,1256.00,Customer 132,Mumbai,Maharashtra,250.00,Table,Furniture,2.00,"$21,808.00 ",500.00%,"$41,435.20","$36,618.19","$4,817.01",Credit Card,November,11,2025,88.37%,,,,
10039,6/12/2025,1086.00,Customer 288,Hyderabad,Telangana,214.00,Chair,Furniture,4.00,"$34,026.00 ",0.00%,"$136,104.00","$105,593.40","$30,510.60",Credit Card,June,6,2025,77.58%,,,,
10040,8/12/2026,1319.00,Customer 450,Mumbai,Maharashtra,248.00,Pen,Office,8.00,"$38,501.00 ",1500.00%,"$261,806.80","$159,320.25","$102,486.55",Debit Card,August,8,2026,60.85%,,,,
10041,1/14/2025,1243.00,Customer 46,Hyderabad,Telangana,277.00,Paper,Office,5.00,"$21,978.00 ",2000.00%,"$87,912.00","$62,185.41","$25,726.59",UPI,January,1,2025,70.74%,,,,
10042,10/22/2026,1379.00,Customer 441,Delhi,Delhi,287.00,Notebook,Office,7.00,"$22,085.00 ",1000.00%,"$139,135.50","$96,572.26","$42,563.24",UPI,October,10,2026,69.41%,,,,
10043,9/24/2025,1354.00,Customer 432,Mumbai,Maharashtra,222.00,Mouse,Electronics,4.00,"$36,565.00 ",1500.00%,"$124,321.00","$80,138.39","$44,182.61",Credit Card,September,9,2025,64.46%,,,,
10044,3/3/2026,1227.00,Customer 71,Bengaluru,Karnataka,225.00,Paper,Office,6.00,"$42,884.00 ",500.00%,"$244,438.80","$215,624.85","$28,813.95",UPI,March,3,2026,88.21%,,,,
10045,2/19/2026,1307.00,Customer 135,Pune,Maharashtra,223.00,Table,Furniture,4.00,"$17,101.00 ",2000.00%,"$54,723.20","$43,597.11","$11,126.09",UPI,February,2,2026,79.67%,,,,
10046,12/24/2026,1199.00,Customer 268,Delhi,Delhi,253.00,Pen,Office,1.00,"$28,471.00 ",1500.00%,"$24,200.35","$19,281.31","$4,919.04",Cash,December,12,2026,79.67%,,,,
10047,1/30/2026,1163.00,Customer 358,Hyderabad,Telangana,223.00,Keyboard,Electronics,8.00,"$2,486.00 ",1000.00%,"$17,899.20","$15,798.22","$2,100.98",UPI,January,1,2026,88.26%,,,,
10048,6/27/2026,1355.00,Customer 221,Bengaluru,Karnataka,241.00,Desk,Furniture,4.00,"$41,222.00 ",2000.00%,"$131,910.40","$94,761.09","$37,149.31",Credit Card,June,6,2026,71.84%,,,,
10049,5/24/2025,1450.00,Customer 398,Hyderabad,Telangana,261.00,Notebook,Office,7.00,"$26,622.00 ",500.00%,"$177,036.30","$156,966.78","$20,069.52",Cash,May,5,2025,88.66%,,,,
10050,3/31/2026,1059.00,Customer 459,Delhi,Delhi,247.00,Table,Furniture,6.00,"$30,333.00 ",1500.00%,"$154,698.30","$113,608.46","$41,089.84",UPI,March,3,2026,73.44%,,,,
10051,3/16/2026,1291.00,Customer 232,Pune,Maharashtra,291.00,Paper,Office,2.00,"$6,943.00 ",2000.00%,"$11,108.80","$7,317.07","$3,791.73",UPI,March,3,2026,65.87%,,,,
10052,11/23/2025,1043.00,Customer 114,Delhi,Delhi,227.00,Mouse,Electronics,1.00,"$47,939.00 ",1000.00%,"$43,145.10","$32,342.43","$10,802.67",Cash,November,11,2025,74.96%,,,,
10053,2/12/2026,1277.00,Customer 228,Mumbai,Maharashtra,220.00,Chair,Furniture,7.00,"$28,035.00 ",1000.00%,"$176,620.50","$118,701.49","$57,919.01",Debit Card,February,2,2026,67.21%,,,,
10054,2/14/2025,1393.00,Customer 370,Hyderabad,Telangana,285.00,Chair,Furniture,4.00,"$5,541.00 ",500.00%,"$21,055.80","$14,341.76","$6,714.04",Debit Card,February,2,2025,68.11%,,,,
10055,12/24/2025,1317.00,Customer 69,Mumbai,Maharashtra,280.00,Chair,Furniture,7.00,"$33,817.00 ",0.00%,"$236,719.00","$144,426.99","$92,292.01",Cash,December,12,2025,61.01%,,,,
10056,7/25/2026,1271.00,Customer 492,Pune,Maharashtra,240.00,Pen,Office,2.00,"$10,595.00 ",0.00%,"$21,190.00","$13,251.50","$7,938.50",Debit Card,July,7,2026,62.54%,,,,
10057,10/25/2026,1097.00,Customer 101,Mumbai,Maharashtra,251.00,Laptop,Electronics,4.00,"$24,097.00 ",1000.00%,"$86,749.20","$67,063.51","$19,685.69",Debit Card,October,10,2026,77.31%,,,,
10058,3/7/2025,1405.00,Customer 214,Chennai,Tamil Nadu,228.00,Mouse,Electronics,2.00,"$17,368.00 ",500.00%,"$32,999.20","$24,870.86","$8,128.34",Cash,March,3,2025,75.37%,,,,
10059,10/10/2025,1071.00,Customer 337,Delhi,Delhi,232.00,Keyboard,Electronics,8.00,"$22,486.00 ",1000.00%,"$161,899.20","$123,921.10","$37,978.10",Debit Card,October,10,2025,76.54%,,,,
10060,3/17/2025,1197.00,Customer 29,Delhi,Delhi,300.00,Notebook,Office,4.00,"$12,312.00 ",500.00%,"$46,785.60","$39,691.50","$7,094.10",Debit Card,March,3,2025,84.84%,,,,
10061,8/8/2025,1407.00,Customer 336,Chennai,Tamil Nadu,278.00,Keyboard,Electronics,4.00,"$2,343.00 ",1500.00%,"$7,966.20","$5,702.56","$2,263.64",UPI,August,8,2025,71.58%,,,,
10062,1/2/2025,1253.00,Customer 476,Pune,Maharashtra,275.00,Pen,Office,8.00,"$40,457.00 ",1500.00%,"$275,107.60","$197,375.29","$77,732.31",Debit Card,January,1,2025,71.74%,,,,
10063,8/8/2025,1436.00,Customer 38,Hyderabad,Telangana,227.00,Chair,Furniture,7.00,"$15,580.00 ",2000.00%,"$87,248.00","$55,140.95","$32,107.05",UPI,August,8,2025,63.20%,,,,
10064,10/29/2026,1267.00,Customer 418,Chennai,Tamil Nadu,239.00,Pen,Office,2.00,"$17,977.00 ",500.00%,"$34,156.30","$30,489.22","$3,667.08",UPI,October,10,2026,89.26%,,,,
10065,6/12/2025,1374.00,Customer 453,Pune,Maharashtra,207.00,Monitor,Electronics,6.00,"$37,165.00 ",500.00%,"$211,840.50","$188,396.08","$23,444.42",Debit Card,June,6,2025,88.93%,,,,
10066,7/1/2026,1111.00,Customer 367,Chennai,Tamil Nadu,265.00,Paper,Office,1.00,"$2,046.00 ",1500.00%,"$1,739.10","$1,240.61",$498.49,Debit Card,July,7,2026,71.34%,,,,
10067,6/9/2025,1468.00,Customer 195,Bengaluru,Karnataka,217.00,Notebook,Office,3.00,"$7,217.00 ",1500.00%,"$18,403.35","$13,897.78","$4,505.57",Cash,June,6,2025,75.52%,,,,
10068,4/27/2025,1090.00,Customer 471,Delhi,Delhi,226.00,Monitor,Electronics,5.00,"$7,981.00 ",500.00%,"$37,909.75","$28,338.68","$9,571.07",Cash,April,4,2025,74.75%,,,,
10069,11/27/2025,1031.00,Customer 137,Delhi,Delhi,243.00,Mouse,Electronics,5.00,"$24,565.00 ",2000.00%,"$98,260.00","$83,960.25","$14,299.75",Cash,November,11,2025,85.45%,,,,
10070,10/16/2025,1050.00,Customer 416,Hyderabad,Telangana,221.00,Desk,Furniture,2.00,"$4,785.00 ",500.00%,"$9,091.50","$6,550.53","$2,540.97",Debit Card,October,10,2025,72.05%,,,,
10071,1/10/2026,1219.00,Customer 342,Delhi,Delhi,249.00,Paper,Office,3.00,"$49,916.00 ",1000.00%,"$134,773.20","$105,384.83","$29,388.37",UPI,January,1,2026,78.19%,,,,
10072,7/9/2026,1434.00,Customer 46,Delhi,Delhi,263.00,Keyboard,Electronics,8.00,"$37,692.00 ",1000.00%,"$271,382.40","$180,459.10","$90,923.30",Debit Card,July,7,2026,66.50%,,,,
10073,3/1/2026,1440.00,Customer 273,Hyderabad,Telangana,290.00,Paper,Office,7.00,"$1,801.00 ",1000.00%,"$11,346.30","$9,266.44","$2,079.86",Credit Card,March,3,2026,81.67%,,,,
10074,6/13/2026,1468.00,Customer 395,Pune,Maharashtra,261.00,Laptop,Electronics,7.00,"$16,417.00 ",0.00%,"$114,919.00","$82,670.50","$32,248.50",Credit Card,June,6,2026,71.94%,,,,
10075,6/28/2025,1215.00,Customer 208,Delhi,Delhi,257.00,Monitor,Electronics,1.00,"$49,864.00 ",500.00%,"$47,370.80","$38,631.76","$8,739.04",Cash,June,6,2025,81.55%,,,,
10076,7/10/2025,1042.00,Customer 373,Mumbai,Maharashtra,241.00,Chair,Furniture,4.00,"$33,257.00 ",2000.00%,"$106,422.40","$88,309.18","$18,113.22",Cash,July,7,2025,82.98%,,,,
10077,8/31/2026,1093.00,Customer 262,Chennai,Tamil Nadu,287.00,Table,Furniture,1.00,"$16,653.00 ",1000.00%,"$14,987.70","$11,664.32","$3,323.38",Credit Card,August,8,2026,77.83%,,,,
10078,10/8/2026,1365.00,Customer 366,Mumbai,Maharashtra,269.00,Desk,Furniture,2.00,"$19,443.00 ",2000.00%,"$31,108.80","$23,065.33","$8,043.47",Debit Card,October,10,2026,74.14%,,,,
10079,6/15/2025,1254.00,Customer 306,Chennai,Tamil Nadu,266.00,Chair,Furniture,4.00,"$41,816.00 ",500.00%,"$158,900.80","$125,096.67","$33,804.13",Cash,June,6,2025,78.73%,,,,
10080,1/31/2025,1227.00,Customer 265,Chennai,Tamil Nadu,231.00,Pen,Office,3.00,"$3,296.00 ",0.00%,"$9,888.00","$8,036.06","$1,851.94",Debit Card,January,1,2025,81.27%,,,,
10081,7/25/2026,1197.00,Customer 124,Delhi,Delhi,204.00,Monitor,Electronics,8.00,"$13,390.00 ",2000.00%,"$85,696.00","$70,877.98","$14,818.02",Debit Card,July,7,2026,82.71%,,,,
10082,4/26/2025,1201.00,Customer 56,Chennai,Tamil Nadu,231.00,Pen,Office,2.00,"$48,628.00 ",1500.00%,"$82,667.60","$52,729.54","$29,938.06",Debit Card,April,4,2025,63.79%,,,,
10083,2/13/2025,1052.00,Customer 339,Pune,Maharashtra,285.00,Notebook,Office,7.00,"$14,715.00 ",1500.00%,"$87,554.25","$68,877.67","$18,676.58",Credit Card,February,2,2025,78.67%,,,,
10084,6/19/2025,1189.00,Customer 184,Chennai,Tamil Nadu,276.00,Chair,Furniture,4.00,"$9,135.00 ",1000.00%,"$32,886.00","$26,102.94","$6,783.06",UPI,June,6,2025,79.37%,,,,
10085,2/25/2026,1377.00,Customer 74,Chennai,Tamil Nadu,256.00,Pen,Office,4.00,"$40,886.00 ",1500.00%,"$139,012.40","$95,582.85","$43,429.55",Debit Card,February,2,2026,68.76%,,,,
10086,9/22/2025,1441.00,Customer 72,Pune,Maharashtra,248.00,Pen,Office,1.00,"$35,652.00 ",1500.00%,"$30,304.20","$18,296.68","$12,007.52",Credit Card,September,9,2025,60.38%,,,,
10087,1/9/2025,1067.00,Customer 53,Hyderabad,Telangana,241.00,Keyboard,Electronics,6.00,"$17,161.00 ",1500.00%,"$87,521.10","$60,571.87","$26,949.23",Cash,January,1,2025,69.21%,,,,
10088,10/1/2025,1406.00,Customer 280,Mumbai,Maharashtra,225.00,Notebook,Office,8.00,"$27,381.00 ",2000.00%,"$175,238.40","$135,540.49","$39,697.91",Cash,October,10,2025,77.35%,,,,
10089,6/1/2025,1166.00,Customer 244,Pune,Maharashtra,224.00,Mouse,Electronics,5.00,"$5,693.00 ",0.00%,"$28,465.00","$19,367.37","$9,097.63",Debit Card,June,6,2025,68.04%,,,,
10090,5/19/2026,1463.00,Customer 250,Bengaluru,Karnataka,257.00,Chair,Furniture,1.00,"$37,745.00 ",1500.00%,"$32,083.25","$25,842.87","$6,240.38",Credit Card,May,5,2026,80.55%,,,,
10091,4/26/2026,1044.00,Customer 268,Bengaluru,Karnataka,239.00,Mouse,Electronics,6.00,"$18,089.00 ",1500.00%,"$92,253.90","$73,442.57","$18,811.33",Debit Card,April,4,2026,79.61%,,,,
10092,11/28/2026,1162.00,Customer 312,Hyderabad,Telangana,269.00,Paper,Office,7.00,"$27,532.00 ",1000.00%,"$173,451.60","$108,279.06","$65,172.54",Debit Card,November,11,2026,62.43%,,,,
10093,12/25/2025,1198.00,Customer 196,Chennai,Tamil Nadu,222.00,Chair,Furniture,1.00,"$10,256.00 ",1000.00%,"$9,230.40","$7,369.16","$1,861.24",Cash,December,12,2025,79.84%,,,,
10094,4/11/2026,1393.00,Customer 347,Delhi,Delhi,222.00,Chair,Furniture,7.00,"$38,492.00 ",0.00%,"$269,444.00","$200,890.64","$68,553.36",Debit Card,April,4,2026,74.56%,,,,
10095,9/4/2025,1337.00,Customer 494,Mumbai,Maharashtra,254.00,Pen,Office,3.00,"$18,136.00 ",500.00%,"$51,687.60","$32,909.07","$18,778.53",Debit Card,September,9,2025,63.67%,,,,
10096,2/2/2026,1299.00,Customer 125,Delhi,Delhi,296.00,Mouse,Electronics,8.00,"$26,605.00 ",0.00%,"$212,840.00","$140,635.14","$72,204.86",Cash,February,2,2026,66.08%,,,,
10097,3/15/2026,1199.00,Customer 350,Mumbai,Maharashtra,245.00,Paper,Office,1.00,"$33,691.00 ",2000.00%,"$26,952.80","$21,018.54","$5,934.26",UPI,March,3,2026,77.98%,,,,
10098,4/8/2026,1426.00,Customer 141,Mumbai,Maharashtra,246.00,Mouse,Electronics,1.00,"$40,493.00 ",1000.00%,"$36,443.70","$28,549.50","$7,894.20",Debit Card,April,4,2026,78.34%,,,,
10099,12/17/2026,1287.00,Customer 308,Mumbai,Maharashtra,206.00,Table,Furniture,4.00,"$37,069.00 ",500.00%,"$140,862.20","$110,596.30","$30,265.90",Debit Card,December,12,2026,78.51%,,,,
10100,3/5/2026,1099.00,Customer 202,Chennai,Tamil Nadu,255.00,Laptop,Electronics,5.00,"$15,419.00 ",1500.00%,"$65,530.75","$48,781.58","$16,749.17",Credit Card,March,3,2026,74.44%,,,,
10101,4/4/2026,1136.00,Customer 276,Mumbai,Maharashtra,260.00,Desk,Furniture,2.00,"$24,510.00 ",1000.00%,"$44,118.00","$33,020.64","$11,097.36",UPI,April,4,2026,74.85%,,,,
10102,12/18/2025,1084.00,Customer 185,Delhi,Delhi,255.00,Chair,Furniture,1.00,"$21,012.00 ",2000.00%,"$16,809.60","$11,148.28","$5,661.32",Debit Card,December,12,2025,66.32%,,,,
10103,4/14/2025,1025.00,Customer 126,Hyderabad,Telangana,278.00,Chair,Furniture,3.00,"$23,384.00 ",1500.00%,"$59,629.20","$41,094.89","$18,534.31",UPI,April,4,2025,68.92%,,,,
10104,7/10/2025,1105.00,Customer 66,Mumbai,Maharashtra,244.00,Desk,Furniture,2.00,"$10,499.00 ",2000.00%,"$16,798.40","$15,018.02","$1,780.38",Debit Card,July,7,2025,89.40%,,,,
10105,3/17/2025,1476.00,Customer 17,Delhi,Delhi,219.00,Keyboard,Electronics,4.00,"$16,606.00 ",2000.00%,"$53,139.20","$38,272.31","$14,866.89",Debit Card,March,3,2025,72.02%,,,,
10106,2/20/2025,1365.00,Customer 460,Chennai,Tamil Nadu,295.00,Keyboard,Electronics,2.00,"$10,981.00 ",2000.00%,"$17,569.60","$11,295.72","$6,273.88",Debit Card,February,2,2025,64.29%,,,,
10107,7/12/2026,1369.00,Customer 377,Pune,Maharashtra,252.00,Pen,Office,3.00,"$21,147.00 ",0.00%,"$63,441.00","$41,974.89","$21,466.11",Credit Card,July,7,2026,66.16%,,,,
10108,1/9/2025,1049.00,Customer 194,Mumbai,Maharashtra,300.00,Monitor,Electronics,6.00,"$27,123.00 ",500.00%,"$154,601.10","$98,321.08","$56,280.02",Cash,January,1,2025,63.60%,,,,
10109,10/3/2026,1262.00,Customer 190,Chennai,Tamil Nadu,231.00,Monitor,Electronics,5.00,"$20,277.00 ",0.00%,"$101,385.00","$62,199.73","$39,185.27",UPI,October,10,2026,61.35%,,,,
10110,12/13/2025,1296.00,Customer 346,Pune,Maharashtra,246.00,Desk,Furniture,3.00,"$13,130.00 ",0.00%,"$39,390.00","$30,819.07","$8,570.93",Cash,December,12,2025,78.24%,,,,
10111,10/9/2026,1245.00,Customer 112,Pune,Maharashtra,292.00,Table,Furniture,3.00,"$33,044.00 ",1500.00%,"$84,262.20","$51,321.10","$32,941.10",Credit Card,October,10,2026,60.91%,,,,
10112,10/14/2025,1327.00,Customer 341,Chennai,Tamil Nadu,285.00,Table,Furniture,3.00,"$6,828.00 ",500.00%,"$19,459.80","$16,822.95","$2,636.85",Cash,October,10,2025,86.45%,,,,
10113,6/22/2025,1052.00,Customer 136,Bengaluru,Karnataka,244.00,Mouse,Electronics,8.00,"$17,309.00 ",0.00%,"$138,472.00","$107,837.16","$30,634.84",Credit Card,June,6,2025,77.88%,,,,
10114,6/7/2025,1050.00,Customer 39,Pune,Maharashtra,223.00,Pen,Office,5.00,"$22,264.00 ",0.00%,"$111,320.00","$69,081.58","$42,238.42",UPI,June,6,2025,62.06%,,,,
10115,6/2/2026,1041.00,Customer 328,Mumbai,Maharashtra,206.00,Laptop,Electronics,3.00,"$25,759.00 ",500.00%,"$73,413.15","$64,966.19","$8,446.96",Cash,June,6,2026,88.49%,,,,
10116,8/30/2026,1440.00,Customer 329,Hyderabad,Telangana,255.00,Chair,Furniture,8.00,"$35,071.00 ",1500.00%,"$238,482.80","$200,953.99","$37,528.81",Cash,August,8,2026,84.26%,,,,
10117,2/11/2026,1449.00,Customer 237,Chennai,Tamil Nadu,292.00,Table,Furniture,6.00,"$35,248.00 ",0.00%,"$211,488.00","$175,972.54","$35,515.46",Cash,February,2,2026,83.21%,,,,
10118,11/20/2025,1183.00,Customer 62,Delhi,Delhi,296.00,Pen,Office,5.00,$982.00 ,1000.00%,"$4,419.00","$2,748.01","$1,670.99",Debit Card,November,11,2025,62.19%,,,,
10119,4/20/2026,1347.00,Customer 496,Pune,Maharashtra,208.00,Table,Furniture,1.00,"$20,177.00 ",500.00%,"$19,168.15","$14,486.52","$4,681.63",Credit Card,April,4,2026,75.58%,,,,
10120,1/24/2026,1443.00,Customer 343,Delhi,Delhi,226.00,Laptop,Electronics,4.00,"$29,971.00 ",1000.00%,"$107,895.60","$77,303.04","$30,592.56",Debit Card,January,1,2026,71.65%,,,,
10121,9/25/2026,1195.00,Customer 218,Hyderabad,Telangana,282.00,Laptop,Electronics,7.00,"$40,305.00 ",1000.00%,"$253,921.50","$215,974.42","$37,947.08",Cash,September,9,2026,85.06%,,,,
10122,9/21/2025,1128.00,Customer 464,Hyderabad,Telangana,204.00,Notebook,Office,4.00,"$29,352.00 ",0.00%,"$117,408.00","$98,601.02","$18,806.98",Cash,September,9,2025,83.98%,,,,
10123,10/20/2026,1355.00,Customer 450,Mumbai,Maharashtra,290.00,Laptop,Electronics,1.00,"$18,009.00 ",2000.00%,"$14,407.20","$11,542.45","$2,864.75",UPI,October,10,2026,80.12%,,,,
10124,3/5/2026,1395.00,Customer 307,Chennai,Tamil Nadu,228.00,Table,Furniture,2.00,"$39,487.00 ",1000.00%,"$71,076.60","$61,601.70","$9,474.90",Credit Card,March,3,2026,86.67%,,,,
10125,7/14/2025,1339.00,Customer 359,Bengaluru,Karnataka,244.00,Notebook,Office,8.00,"$24,711.00 ",500.00%,"$187,803.60","$113,364.99","$74,438.61",UPI,July,7,2025,60.36%,,,,
10126,4/8/2025,1451.00,Customer 28,Chennai,Tamil Nadu,247.00,Desk,Furniture,7.00,"$28,593.00 ",0.00%,"$200,151.00","$146,266.17","$53,884.83",Credit Card,April,4,2025,73.08%,,,,
10127,8/21/2025,1212.00,Customer 219,Chennai,Tamil Nadu,245.00,Paper,Office,2.00,"$6,526.00 ",1000.00%,"$11,746.80","$10,440.85","$1,305.95",Debit Card,August,8,2025,88.88%,,,,
